Id,Title,Artist,Genre,Release,Rating
351,Wonder What's Next [CD],Chevelle,Pop,02/24/2015,4.6
352,Diver Down [CD],Van Halen,Pop,07/10/15,4.5
353,Mascara & Monsters: The Best of Alice Cooper [CD],Alice Cooper,Pop,01/16/2001,4.5
354, Both Sides of the Sky [LP] - VINYL,Jimi Hendrix,Pop,03/09/18,4
355,Superunknown [Remastered] [CD],Soundgarden,Pop,06/03/14,4.7
356,FutureSex/LoveSounds [CD] [PA],Justin Timberlake,Pop,02/24/2015,4.6
357,Catharsis [CD & DVD],Machine Head,Pop,01/26/2018,4.5
358,An  Introduction To [CD],Jethro Tull,Pop,04/14/2017,4.7
359,The Black Parade [CD] [PA],My Chemical Romance,Pop,10/24/2006,4.6
360,Best of Bowie [CD],David Bowie,Pop,10/22/2002,4.8
361,Playlist: Journey Greatest Hits [CD],Journey,Vocal,12/11/15,4.5
362,Tibetan Meditation Music [CD],Nawang Khechog,New Age,04/24/2007,
363,Home to Oblivion: An Elliott Smith Tribute [CD],Christopher O'Riley,New Age,04/11/06,4
364,Solo Saxophone II: Life [CD],John Klemmer,Jazz,02/26/2008,3
365,The Road... [CD],Keiko Matsui,Jazz,01/25/2011,3
366,Thunderstorm with Alpha Brainwave Pulses [CD],Jeffrey D. Thompson,New Age,09/26/2006,
367,Christmas Plain & Simple [CD],Michele McLaughlin,New Age,12/04/06,
368,The Celts [CD],Enya,New Age,06/27/1995,2.7
369,A  New You [CD],Various Artists,New Age,09/02/16,
370,Temple at Midnight [CD],Miten,New Age,09/09/16,
371,The  Best of the Most Relaxing New Age Music In the Universe [CD],Various Artists,New Age,10/30/2012,
372,Let the Church Say Amen [CD],Rev. Gerald Thompson,Gospel & Christian,01/18/1996,
373,Simply Relaxation [CD],Various Artists,New Age,08/03/10,
374,Reiki Meditations [CD],Nandin,New Age,06/17/2016,
375,Once in a Red Moon [CD],Secret Garden,New Age,03/26/2002,
376,WOW Gospel 2014 [CD],Various Artists,New Age,02/04/14,4.8
377,Wow Gospel 2013 [CD],Various Artists,New Age,01/29/2013,4.4
378,A Windham Hill Christmas [CD],Various Artists,Holiday,10/22/2002,
379,Essential Winter's Solstice [CD],Various Artists,Holiday,10/18/2005,
380,The Piano [CD],Mike Strickland,Easy Listening,08/23/2004,
381,Body & Mood: Life Moods [CD],Various Artists,New Age,08/08/06,5
382,Pure Moods [CD],Various Artists,Electronic/Dance,04/29/1997,4.5
383,Spectrum: An Anthology of Relaxing Instrumental Music [CD],Hennie Bekker,New Age,09/06/11,
384,Chariots of Fire [Original Score] [CD],Vangelis,New Age,10/25/1990,
385,Terma-Yana [CD],Karma Sonam Dorje,New Age,08/02/05,
386,The Experience [CD],Yolanda Adams,Gospel & Christian,03/20/2001,
387,"Best of Hearts of Space, No. 3: Innocence [CD]",Various Artists,New Age,02/24/2009,5
388,"The Best of Hearts of Space, No. 1: First Light [CD]",Various Artists,New Age,01/27/2009,5
389,50 Golden Hymns Instrumental Collection [CD],Various Artists,Gospel & Christian,11/29/2005,5
390,Journey Around the Sun: A Mayan Odyssey [CD],Frank Ralls,New Age,08/01/11,
391,Windham Hill Holiday Guitar Collection [CD],Various Artists,New Age,10/03/06,5
392,Tribute to Bishop G.E. Patterson [CD],Various Artists,Gospel & Christian,04/28/2009,5
393,"Celtic Woman, Vol. 1 [CD]",Various Artists,World,01/26/1999,5
394,Healing Sounds: Torrential Thunderstorms [CD],Various Artists,New Age,10/24/2011,4
395,Simply Meditation [CD],Various Artists,New Age,02/23/2010,
396,Solace [CD],Doug Hammer,New Age,01/07/08,
397,Watermark [LP] - VINYL,Enya,New Age,10/21/2016,
398,Hallelujah [CD],Will Blunderfield,World,07/26/2011,
399,Plains [CD],George Winston,New Age,10/29/2013,
400,A Celebration of Scottish Music [CD],Various Artists,World,03/29/1994,
401,To Drive the Cold Winter Away [CD],Loreena McKennitt,World,11/14/2006,
402,Relaxation [2 Camels] [CD],Various Artists,New Age,04/24/2012,4
403,Universal Love [CD],Nawang Khechog,New Age,05/20/2003,
404,Prana Groove [CD],Stevin McNamara,New Age,03/08/11,
405,"Christmas in the Northwest, Vol. 5 [CD]",Various Artists,Holiday,11/01/02,
406,Diversity [CD],Emily Bear,Jazz,05/07/13,
407,Traumgarten: Garden of Dreams [CD],Andreas Vollenweider,New Age,05/20/2008,
408,Make Me an Instrument [CD],Kurt Van Sickle,New Age,11/21/2007,
409,Believe [CD] [PA],Disturbed,Pop,09/17/2002,4.7
410,The Essential Elvis Presley [RCA/Sony BMG] [CD],Elvis Presley,Pop,01/02/07,4.7
411,The  Best of Gerald Levert [CD],Gerald Levert,R&B Soul,08/31/2010,4.8
412,American Capitalist [CD] [PA],Five Finger Death Punch,Pop,10/11/11,4.7
413,Blurryface [LP] - VINYL,Twenty One Pilots,Pop,07/31/2015,4.7
414,MTV Unplugged in New York [CD],Nirvana,Pop,11/01/94,4.8
415,Monuments & Melodies [1 CD] [CD],Incubus,Pop,05/05/17,4.6
416,Scream [CD],Michael Jackson,Pop,09/29/2017,4.3
417,Vices & Virtues [CD],Panic! At the Disco,Pop,03/22/2011,4.6
418,Bulletproof Picasso [CD],Train,Pop,05/05/17,4.1
419, An  Introduction To [CD],Bad Company,Pop,03/02/18,
420,The Way of the Fist [CD] [PA],Five Finger Death Punch,Pop,07/31/2007,4.7
421,Born to Die [LP] - VINYL,Lana Del Rey,Pop,02/21/2012,4.6
422,Greatest [Japan] [CD],Huey Lewis & the News,Pop,05/23/2006,4.8
423,The Essential Korn [CD] [PA],Korn,Pop,05/10/11,4.7
424,Now That's What I Call Music! 64 [CD],Various Artists,Pop,11/03/17,4.5
425,Greatest Hits [Bonus Track] [CD],Journey,Pop,08/01/06,4.9
426,Wake Up Call [CD],Theory of a Deadman,Pop,10/27/2017,3.7
427,Dark Before Dawn [Bonus Track] [CD],Breaking Benjamin,Pop,06/23/2015,4.6
428,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition 2 CD] [CD],The Beatles,Pop,05/26/2017,4.9
429,The Battle of Los Angeles [CD] [PA],Rage Against the Machine,Pop,11/02/99,4.8
430,M A N I A [CD],Fall Out Boy,Pop,01/19/2018,4.3
431,The Very Best of Supertramp [CD],Supertramp,Pop,12/11/01,4.7
432,TwentyFive [CD],George Michael,R&B Soul,04/01/08,4.8
433,Greatest Hits: God's Favorite Band [CD] [PA],Green Day,Pop,11/17/2017,4.9
434,Beatles [White Album] [LP] [Bonus Tracks],The Beatles,Pop,11/13/2012,4.8
435,Lust for Life [CD] [PA],Lana Del Rey,Pop,07/21/2017,4.7
436,Purple [CD],Stone Temple Pilots,Pop,06/07/94,4.8
437,Paranormal [CD],Alice Cooper,Pop,07/28/2017,4.5
438,Boston [CD],Boston,Pop,06/13/2006,4.8
439,The  Truth About Love [CD] [PA],P!nk,Pop,09/18/2012,4.6
440,Woodstock [CD],Portugal. The Man,Pop,06/16/2017,4.7
441,20th Century Masters: The Millennium Collection: Best of Tears for Fears [CD],Tears for Fears,Pop,06/27/2000,4.8
442,Will to Power [CD],Arch Enemy,Pop,09/08/17,4.7
443,The Very Best Of [2003 Bonus DVD] [CD],Eagles,Pop,10/21/2003,4.9
444,Journey's Greatest Hits [Bonus LP Version] [LP] - VINYL,Journey,Pop,11/01/11,4.8
445,Lateralus [LP] [PA],Tool,Pop,08/23/2005,4.5
446,The Heroin Diaries Soundtrack [10th Anniversary Edition] [CD/DVD] [CD & DVD],Sixx:A.M.,Pop,10/27/2017,4.5
447,21 [LP] - VINYL,Adele,Pop,02/22/2011,4.7
448,Don't Panic [CD],All Time Low,Pop,10/09/12,4.5
449,Wow Gospel 2018 [CD],Various Artists,Gospel & Christian,01/26/2018,4.3
450,Divide [Deluxe Version] [45RPM 180 Gram Vinyl] [Digital Download] [LP] - VINYL,Ed Sheeran,Pop,03/03/17,4.9
451,NO ONE EVER REALLY DIES [CD] [PA],N.E.R.D,Pop,12/15/2017,4.2
452,Undertow [CD] [PA],Tool,Pop,04/06/93,4.7
453,Bon Jovi Greatest Hits [Deluxe Edition]  [CD],Bon Jovi,Pop,11/09/10,4.8
454,Pacific Daydream [CD],Weezer,Pop,10/27/2017,4.2
455,Playlist: The Very Best of Johnny Cash [CD],Johnny Cash,Country,12/11/15,4.6
456,Psychotic Symphony [CD],Sons of Apollo,Pop,10/20/2017,4.8
457,Cherry Blossom [Bonus Track] [CD],Keiko Matsui,Jazz,06/17/2003,
458,Shakuhachi Water Meditations [CD],Riley Lee,World,08/31/2010,
459,Celtic Journeys [CD],David Arkenstone,New Age,05/17/2011,
460,Reassemblage [CD],Visible Cloaks,Electronic/Dance,02/17/2017,
461,The Journey So Far: The Best of Loreena McKennitt [CD],Loreena McKennitt,Folk,03/03/14,
462,"Guitar Greats: The Best of New Flamenco, Vol. 3 [CD]",Various Artists,New Age,04/16/2013,
463,Believe: A Spirtual Romance [CD],2002,New Age,10/16/2012,
464,Jerusalem With Bill & Gloria Gaither and Their Homecoming Friends [CD],Bill Gaither,Gospel & Christian,03/01/05,
465,20th Century Masters - The Millennium Collection: The Best of Secret Garden [CD],Secret Garden,New Age,08/03/04,
466,A Lifetime in the Making [CD],The Whites,Country,08/28/2001,
467,Wings II: Return To Freedom [CD],2002,New Age,11/19/2009,
468,Songs from the Heart [CD],Yolanda Adams,Gospel & Christian,09/15/1998,
469,Sleepy Baby Suite [CD],Wayne Gratz,New Age,06/16/2005,
470,Treasure [CD],David Helpling,New Age,06/12/07,
471,Positive Affirmations [CD],Sunny Dawn Johnston,New Age,11/01/08,
472,Necronomicon [CD],Nox Arcana,Electronic/Dance,10/10/04,
473,"Pianissimo, Vol. 2 [CD]",Suzanne Ciani,New Age,04/02/96,
474,Shepherd Moons [CD],Enya,New Age,03/04/99,
475,Celtic Renaissance [CD],Mark Britten,New Age,11/04/16,
476,Overcome [CD],David Nevue,New Age,12/30/2004,
477,One Day at a Time [CD],Cristy Lane,Gospel & Christian,11/01/95,
478,Greatest Hits [CD],Keith Green,Gospel & Christian,04/29/2008,
479,Sounds of Nature Sampler [CD],Suzanne Doucet,New Age,07/12/05,
480,Beyond City Light [CD],Jon Jenkins,New Age,04/12/05,
481,Resting in the Now [CD],Shaina Noll,New Age,04/15/2016,
482,Kokopelli's Cafe [CD],R. Carlos Nakai,New Age,10/01/96,5
483,Chinese Feng Shui Music [CD],Shanguai Chinese Traditional Orchestra,New Age,06/27/2000,
484,Icon: Mike Oldfield [CD],Mike Oldfield,New Age,01/29/2013,
485,Ambient 2: The Plateaux of Mirror [CD],Harold Budd,Avant-Garde,10/05/04,
486,Fragrances of a Dream [CD],Daniel Kobialka,New Age,09/01/98,
487,Piano Love Songs [CD],Bradley Joseph,New Age,09/07/12,
488,The Celtic Minstrel [CD],James Galway,World,01/30/1996,
489,Mantras for Precarious Times [CD],Deva Premal,World,02/02/10,
490,The Very Best of Yanni [CD],Yanni,New Age,10/23/2012,
491,Chakra Healing Music [CD],David Ison,New Age,06/28/2011,
492,A Passionate Life [CD],John Tesh,New Age,05/01/07,
493,Live at Mystic Blues Festival 2013 [CD],Jim Weider's Project Percolator,New Age,10/28/2014,
494,Follow the Sun [CD],Craig Chaquico,New Age,05/19/2009,
495,WOW Worship: Red [CD],Various Artists,Gospel & Christian,03/09/04,
496,Music for Healing & Unwinding [CD],Steven Halpern,New Age,04/04/06,
497,Tubular Bells 2 [LP] - VINYL,Mike Oldfield,New Age,04/28/2015,
498,Ocean Dreams [CD],David Arkenstone,New Age,08/19/2008,
499,Caribbean Dreams: An Instrumental Tropical Paradise [CD],David Arkenstone,Easy Listening,04/23/2013,
500,50 [CD],Neil Diamond,Pop,03/31/2017,4.9
501,Vessel [Clear Vinyl] [LP] - VINYL,Twenty One Pilots,Rap & Hip-Hop,05/27/2014,4.8
502,An  Introduction To [CD],America,Pop,05/12/17,5
503,Time's Makin Changes: The Best of Tesla [CD],Tesla,Pop,11/20/1995,4.8
504,Icon [CD],The Moody Blues,Pop,07/19/2011,4.7
505,Metal Resistance [CD],Babymetal,Pop,04/01/16,4.4
506,Guardians of the Galaxy [Songs and Original Score] [LP] - VINYL,Tyler Bates,Soundtracks & Shows,09/16/2014,4.9
507,Abbey Road [Limited Edition] [2009 Remaster] [Enhanced CD],The Beatles,Pop,09/09/09,5
508,The  Lost Children [CD] [PA],Disturbed,Pop,11/08/11,4.4
509,Doors [180 Gram Vinyl] [LP] - VINYL,The Doors,Pop,09/15/2009,5
510,Greatest Hits [Epic/Legacy] [CD],Boston,Pop,01/12/09,4.8
511,The  Ultimate Bee Gees [CD],Bee Gees,R&B Soul,02/10/17,4.7
512,Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition] [CD],The Beatles,Pop,05/26/2017,4.8
513,Three Days Grace [CD],Three Days Grace,Pop,07/22/2003,4.6
514,Blood [CD],In This Moment,Pop,08/14/2012,4.7
515,35 Biggest Hits [CD],Tim McGraw,Country,06/16/2015,4.9
516,Unapologetically [CD],Kelsea Ballerini,Country,11/03/17,4.8
517,Day of the Gusano [CD & DVD] [PA],Slipknot,Pop,10/20/2017,4.5
518,A Head Full of Dreams [CD],Coldplay,Pop,12/04/15,4.5
519,The Definitive Collection [Bonus Disc] [CD],Lionel Richie,R&B Soul,02/04/03,4.5
520,The Essential Van Morrison [CD],Van Morrison,Blues,08/28/2015,4.7
521,25 [LP] - VINYL,Adele,Pop,11/20/2015,4.9
522,Greatest Hits [Warner Bros.] [LP] - VINYL,Fleetwood Mac,Pop,06/24/2014,4.8
523,1000 Forms of Fear [CD],Sia,Pop,07/08/14,4.6
524,Rage Against the Machine [Picture Disc] [LP] [PA],Rage Against the Machine,Pop,12/04/12,4.9
525,"Good Times, Bad Times: 10 Years of Godsmack [CD] [PA]",Godsmack,Pop,12/04/07,4.7
526,Moondance [180 Gram Vinyl] [LP] - VINYL,Van Morrison,Pop,12/30/2008,4.9
527,Icon [CD],Nirvana,Pop,08/31/2010,4.7
528,Hot Fuss [CD],The Killers,Pop,06/15/2004,4.6
529,20/20 Experience [CD],Justin Timberlake,Pop,03/19/2013,4.5
530,Icon [CD],Styx,Pop,08/31/2010,4.7
531,Greatest Hits [CD],*NSYNC,Pop,05/08/12,4.7
532, The Sound of A [CD],Alice Cooper,Pop,02/23/2018,4.3
533,"The Best of Nickelback, Vol. 1 [CD]",Nickelback,Pop,11/19/2013,4.7
534,Essential Bob Dylan [LP] - VINYL,Bob Dylan,Folk,06/10/16,5
535,"The Bootleg Series, Vol. 13: Trouble No More 1979-1981 [CD]",Bob Dylan,Pop,11/03/17,4.6
536,Bright: The Album [CD],Various Artists,Soundtracks & Shows,12/15/2017,4.4
537,Emperor of Sand [CD],Mastodon,Pop,03/31/2017,4.6
538,Faith [CD],George Michael,Pop,10/25/1990,4.8
539,Somewhere Back in Time: The Best of 1980-1989 [CD],Iron Maiden,Pop,05/13/2008,4.8
540,Ceremony and Devotion [CD],Ghost,Pop,01/19/2018,4.9
541,Piece of Mind [Limited Edition] [CD],Iron Maiden,Pop,03/26/2002,4.9
542,Guardians of the Galaxy [Original Motion Picture Soundtrack] [Enhanced CD],Tyler Bates,Soundtracks & Shows,07/29/2014,4.8
543,Black & White Night [CD],Roy Orbison,Pop,05/05/17,4.7
544,The Beatles [White Album] [Enhanced CD],The Beatles,Pop,09/09/09,4.9
545,U218 Singles [CD],U2,Pop,11/21/2006,4.8
546,"Best of Van Halen, Vol. 1 [CD]",Van Halen,Pop,10/22/1996,4.7
547,Call Me Irresponsible [CD],Michael Bublé,Vocal,05/01/07,4.9
548,Continuum [CD],Jon Jenkins,New Age,11/27/1995,
549,Here Comes the Sun [CD],David Lanz,New Age,03/13/2012,
550,The Prophecy of the Eagle and the Condor [CD],Tito la Rosa,New Age,06/05/01,
551,Global Journey: Chill Out Tibet [CD],Various Artists,New Age,04/10/07,
552,Flow [CD],Jon Jenkins,New Age,10/06/98,
553,Wind Chimes [CD],Greg Maroney,New Age,08/23/2012,
554,"Fresh Aire, Vol. 8 [CD]",Chip Davis,New Age,05/20/2016,
555,Magic Theatre [CD],Gandalf,Electronic/Dance,07/01/16,
556,Journey to an Imaginary Land [Remastered Edition] [CD],Gandalf,New Age,02/03/17,
557,Dreamstreams [CD],Dean Evenson,New Age,08/20/1996,
558,Imaginary Roads [CD],Will Ackerman,New Age,10/06/09,
559,Spa Rhythms [CD],Dean Evenson,New Age,08/08/06,
560,Reflections 2000-2005: The Best of Michele McLaughlin [CD],Michele McLaughlin,New Age,05/08/06,
561,Wake Up! [CD],Pope Francis I,Classical,11/27/2015,
562,Ocean Dreams [Enhanced] [CD],Dean Evenson,New Age,09/18/1993,
563,Piano Chill: Songs of the Eagles [CD],Christopher Phillips,New Age,03/25/2016,
564,A Tribute to Enya [CD],Celtic Symphony,New Age,10/07/14,
565,White Sun [CD],White Sun,New Age,07/14/2017,
566,A Celtic Dream [CD],Michele McLaughlin,New Age,11/14/2008,
567,Wind Dancer [CD],Dean Evenson,New Age,12/16/1992,
568,Legend [Bonus Track] [CD],Clannad,World,08/25/2003,
569,Desert Dawn Song [CD],Dean Evenson,New Age,05/12/15,
570,Harmonic Way [CD],Dean Evenson,New Age,09/09/14,
571,Be the Light [CD],Shastro,New Age,06/18/2013,
572,Elysium [CD],Michele McLaughlin,New Age,08/17/2005,
573,America the Beautiful [Columbia River] [CD],Various Artists,New Age,06/13/2000,
574,The Most Relaxing New Age Music in the Universe [CD],Various Artists,New Age,01/25/2005,
575,Sons of Somerled [CD],Steve McDonald,New Age,01/12/99,
576,Relaxing Piano [CD],Eo Simon,New Age,11/27/2007,
577,One River: Music For Sacred Movement [CD],John de Kadt,World,06/19/2012,
578,Slow Guitar [CD],Adrian Legg,New Age,01/04/11,
579,1492: Conquest of Paradise [Music from the Original Soundtrack] [CD],Vangelis,Electronic/Dance,01/13/2008,
580,Runaljod: Yggdrasil [CD],Wardruna,New Age,02/24/2015,
581,Body Temple: Guided Meditations for Radical [CD],Ramdesh Kaur,New Age,07/01/16,
582,Shampoo Haircut and Shave [CD],Mickey Jupp,New Age,02/25/2013,
583,Yoga and Ayurveda [CD],Merlin's Magic,New Age,11/15/2005,
584,Pure Michael Hedges [CD],Michael Hedges,New Age,06/27/2006,
585,Corteo (Limited Edition) [CD+DVD] [CD],Cirque du Soleil,World,10/03/06,
586,Zen Garden [Water Music] [CD],Stuart Michael,New Age,08/12/08,
587,Celebration of Light [CD],Deuter,New Age,11/10/09,
588,"Winter's Solstice, Vol. 1 [Silver Anniversary Edition] [CD]",Various Artists,New Age,07/01/10,
589,Best of Silk Road [CD],Kitaro,New Age,02/25/2003,
590,Frontiers [CD],Jesse Cook,New Age,03/18/2008,
591,Tai Chi [CD],Katie Hope,New Age,11/04/16,
592,Aerial Boundaries [Super Audio Hybrid CD],Michael Hedges,Folk,10/16/2015,
593,Live [CD],Shekinah Glory Ministry,Gospel & Christian,12/21/2004,5
594,Watermark [Import] [CD],Enya,New Age,01/13/2008,4.5
595,Just the Beginning [CD],Grace VanderWaal,Pop,11/03/17,4.9
596,Revolver [Remastered] [LP] - VINYL,The Beatles,Pop,11/13/2012,4.7
597,Tapestry [Bonus Tracks] [CD],Carole King,Pop,05/25/1999,4.9
598,Continuum [Revised] [CD],John Mayer,Pop,04/08/08,4.4
599,Greatest Hits [CD],Neil Young,Pop,11/16/2004,4.7
600,Death of a Bachelor [LP] - VINYL,Panic! At the Disco,Pop,04/01/16,4.7
601,Korn [CD] [PA],Korn,Pop,10/11/11,4.9
602,Bat Out of Hell [CD],Meat Loaf,Pop,01/30/2001,4.8
603,Unden!able [Deluxe Edition] [Only @ Best Buy] [CD & DVD],Hellyeah,Pop,10/27/2017,4.9
604,Immortalized [Deluxe Edition] [CD] [PA],Disturbed,Pop,08/21/2015,4.7
605,Melodrama [CD] [PA],Lorde,Pop,06/16/2017,4.5
606,Thrill of It All [Special Edition] [CD],Sam Smith,Pop,11/03/17,4.6
607,4Ever [LP] - VINYL,Prince,Pop,09/15/2017,4.8
608,The Hits [CD],REO Speedwagon,Pop,04/30/2002,4.7
609,Icon [CD],The Temptations,Pop,08/31/2010,4.7
610,Gold [CD],Commodores,R&B Soul,01/10/06,4.8
611,The Hits [CD],Billy Joel,Pop,11/16/2010,4.8
612,The Very Best of Dokken [CD],Dokken,Pop,07/06/99,4.7
613,.5: The Gray Chapter [CD] [PA],Slipknot,Pop,10/21/2014,4.6
614,Now That's What I Call Party Anthems 3 [CD],Various Artists,Pop,08/05/16,4.6
615,Feed the Machine [CD],Nickelback,Pop,06/16/2017,4.5
616,Sublime [LP] [PA],Sublime,Pop,06/24/2016,4.5
617,Very Baddest of ZZ Top [One-CD] [CD],ZZ Top,Pop,07/22/2014,4.8
618,Let It Bleed [CD],The Rolling Stones,Pop,08/27/2002,4.8
619,The Very Best...And Beyond [Repackaging] [CD],Foreigner,Pop,04/03/07,4.7
620,The Very Best of Sheryl Crow [CD],Sheryl Crow,Pop,11/04/03,4.7
621,"Dimevision, Vol. 2: Roll With It or Get Rolled Over  [CD & DVD]",Dimebag Darrell,Pop,11/24/2017,4.9
622,Riot! [CD],Paramore,Pop,06/12/07,4.7
623,Gunslinger [CD],Garth Brooks,Country,11/24/2016,4.7
624,Rise and Fall of Ziggy Stardust and the Spiders from Mars [LP] - VINYL,David Bowie,Pop,02/26/2016,4.3
625,Songs of Experience [Deluxe Edition] [1 CD] [CD],U2,Pop,12/01/17,4.4
626,Now That's What I Call Music! 62 [CD],Various Artists,Electronic/Dance,05/05/17,4.5
627,Carry Fire [CD],Robert Plant,Country,10/13/2017,4.2
628,Life Is Good [CD],Flogging Molly,Pop,06/02/17,4.4
629,Nine Track Mind [CD],Charlie Puth,Pop,01/29/2016,4.7
630,Killer Tracks From the Motion Picture Baby Driver [CD],Various Artists,Pop,11/10/17,4.8
631,Greatest Hits [CD],Shania Twain,Country,11/09/04,4.8
632,Hell Freezes Over [CD],Eagles,Pop,11/08/94,4.7
633,Indestructible [CD] [PA],Disturbed,Pop,06/03/08,4.7
634,All the Light Above It Too [CD],Jack Johnson,Pop,09/08/17,4.6
635,Greatest Hits [LP] - VINYL,Santana,Pop,01/26/2018,
636,The Singles [CD],Phil Collins,Pop,10/14/2016,4.8
637,The End/The Angelic Sessions [Blu-Ray/CD] [Blu-Ray Disc] [PA],Black Sabbath,Pop,11/17/2017,4.8
638,Montevallo [CD],Sam Hunt,Country,10/27/2014,4.7
639,The  Brotherhood [CD],Lynch Mob,Pop,09/08/17,3.9
640,Psychosis [CD],Cavalera Conspiracy,Pop,11/17/2017,4.4
641,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1 [CD] [PA]",Five Finger Death Punch,Pop,07/30/2013,4.7
642,Rocket Man: Number Ones [CD],Elton John,Pop,03/27/2007,4.7
643,Spirit of the Rain Forest [CD],David Arkenstone,New Age,08/19/2008,
644,Comfort and Joy [CD],Philip Wesley,Holiday,01/01/05,
645,Kali Ma: Dances of Transformation [CD],Alan Scott Bachman,New Age,06/22/2005,
646,Novus Magnificat: Through the Stargate [30th Anniversary Edition] [2 CD] [CD],Constance Demby,New Age,06/09/17,
647,Essence of the Forest [Original] [CD],Deep Forest,Electronic/Dance,02/09/04,
648,Splendor of Meditation: Stress Relief [CD],Dr. Siddharth Ashvin Shah,New Age,01/07/09,
649,Drifting In Dreams [CD],Michele Ippolito,Electronic/Dance,03/08/12,
650,Idlewild: A Compilation [CD],They Might Be Giants,New Age,05/27/2014,4
651,The Celtic Book of Days [CD],David Arkenstone,New Age,08/04/09,
652,Equinoxe [2014] [CD],Jean Michel Jarre,Avant-Garde,05/13/2014,
653,No Dimension [CD],Shastro,New Age,03/17/1997,
654,Aria 2: New Horizons [CD],Paul Schwartz,Electronic/Dance,08/10/04,5
655,Leader of the Band: a Piano Tribute To the Music of Dan Fogelberg [CD],Jim Wilson,New Age,03/23/2010,
656,Zen: Tranquility [CD],Various Artists,New Age,01/01/13,
657,Sweet Dreams: Lullabies for Babies [CD],Various Artists,New Age,07/28/2017,
658,Ocean Waves (Alpha Relaxation Solution) [CD],Jeffrey D. Thompson,New Age,09/12/06,
659,One Day at a Time: 22 All Time Favorites [CD],Cristy Lane,Gospel & Christian,08/27/2013,4
660,The  Journey So Far: The Best of Loreena McKennitt [CD],Loreena McKennitt,Folk,03/03/14,
